@RELATION usabilidade_site_educacional
@ATTRIBUTE tempo_tarefa_seg NUMERIC
@ATTRIBUTE erros NUMERIC
@ATTRIBUTE satisfacao {1,2,3,4,5}
@ATTRIBUTE experiencia_previa {baixa,media,alta}
@ATTRIBUTE navegacao_intuitiva {1,2,3,4,5}
@ATTRIBUTE eficiencia NUMERIC
@ATTRIBUTE nivel_usabilidade {baixa,media,alta}

@DATA
176.9,4,3,media,4,0.40,media
161.2,0,5,alta,3,0.74,alta
175.4,1,4,alta,4,0.71,alta
144.1,1,5,alta,4,0.54,alta
214.7,8,3,media,5,0.75,media
275.7,6,4,baixa,2,0.32,baixa
273.5,2,2,baixa,1,0.36,baixa
119.2,1,3,alta,4,0.80,alta
100.4,3,4,media,2,0.75,alta
353.5,3,2,baixa,3,0.36,baixa
363.1,3,3,baixa,1,0.33,baixa
165.8,1,4,media,4,0.59,alta
232.6,4,4,baixa,3,0.70,media
351.5,5,2,baixa,3,0.33,baixa
262.5,4,3,media,2,0.22,baixa
250.5,0,2,media,4,0.87,alta
219.6,4,3,media,3,0.64,media
296.8,5,3,baixa,2,0.50,baixa
209.5,1,4,media,2,0.50,media
319.3,7,3,baixa,2,0.47,baixa
303.4,4,3,media,2,0.34,baixa
201.7,1,3,media,3,0.58,media
215.8,3,3,media,2,0.36,baixa
144.2,0,5,alta,5,0.85,alta
207.2,5,4,media,3,0.41,media
201.9,2,4,media,3,0.50,media
355.0,7,3,baixa,1,0.00,baixa
276.1,0,3,media,2,0.23,media
363.3,6,2,baixa,1,0.27,baixa
351.3,2,3,baixa,2,0.44,baixa
154.8,0,5,alta,4,0.70,alta
164.0,2,3,media,3,0.76,media
95.1,0,5,alta,4,0.62,alta
282.4,1,5,media,4,0.43,alta
236.3,0,5,alta,4,0.86,alta
313.7,3,3,media,4,0.40,media
340.8,3,3,media,3,0.30,baixa
161.7,5,3,media,2,0.58,media
414.9,6,3,baixa,2,0.14,baixa
310.1,2,3,media,4,0.58,media
356.5,9,2,baixa,3,0.36,baixa
341.5,8,3,baixa,3,0.51,baixa
198.1,1,3,media,2,0.81,media
231.7,4,2,baixa,3,0.47,baixa
184.4,0,4,alta,4,0.67,alta
214.3,1,5,alta,5,0.84,alta
157.2,0,5,alta,4,0.64,alta
255.2,5,3,media,4,0.76,media
339.3,10,3,baixa,1,0.46,baixa
165.2,2,5,alta,4,0.55,alta
207.5,1,3,media,4,0.75,alta
165.8,0,5,alta,5,0.63,alta
144.6,1,4,alta,5,0.69,alta
166.8,0,4,alta,5,0.66,alta
458.2,4,3,baixa,3,0.14,baixa
114.4,0,4,media,3,0.88,alta
127.4,1,5,alta,5,0.95,alta
292.5,5,4,media,4,0.42,media
254.5,4,2,baixa,2,0.45,baixa
277.3,3,5,media,2,0.47,media
121.3,0,4,alta,4,0.88,alta
257.8,0,5,media,4,0.59,alta
206.4,1,3,media,4,0.78,alta
443.5,4,1,baixa,3,0.08,baixa
239.4,2,3,media,2,0.58,baixa
128.7,0,2,alta,4,0.91,alta
452.9,4,2,baixa,3,0.20,baixa
238.1,4,4,media,3,0.47,media
114.9,0,4,alta,4,0.81,alta
171.8,5,3,media,3,0.39,media
74.5,4,4,media,3,0.51,media
251.0,0,3,media,4,0.31,media
237.6,0,4,media,3,0.26,media
413.2,3,2,baixa,3,0.52,baixa
109.4,1,5,alta,5,0.72,alta
135.3,0,4,alta,3,0.35,alta
167.5,1,3,alta,3,0.77,alta
232.3,1,4,alta,4,0.86,alta
181.2,1,3,media,2,0.52,media
317.5,3,3,media,3,0.27,baixa
185.3,0,4,alta,5,0.74,alta
174.9,2,4,media,3,0.28,media
275.2,1,5,media,4,0.43,alta
201.2,1,5,alta,5,0.60,alta
124.3,2,4,alta,4,0.59,alta
245.4,7,3,media,3,0.71,media
215.2,3,3,media,4,0.47,media
398.9,7,5,baixa,3,0.40,baixa
231.7,2,4,media,3,0.53,media
425.4,2,4,baixa,4,0.33,media
92.7,1,4,media,3,0.35,alta
189.7,4,4,media,3,0.44,media
288.7,3,4,baixa,2,0.53,baixa
311.3,4,3,media,4,0.50,media
247.7,5,1,baixa,3,0.28,baixa
336.1,5,2,baixa,3,0.28,baixa
184.9,0,4,alta,5,0.58,alta
179.3,4,4,media,4,0.57,alta
370.8,7,3,baixa,2,0.45,baixa
334.0,2,3,media,4,0.48,media
63.1,1,4,alta,4,0.74,alta
335.2,6,2,baixa,3,0.31,baixa
264.3,4,3,media,4,0.42,media
384.6,5,4,baixa,2,0.30,baixa
